Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
23725,46,management,married,secondary,no,0,no,no,telephone,25,aug,67,10,-1,0,unknown,no
39054,37,blue-collar,married,primary,no,3051,no,no,cellular,14,may,386,4,-1,0,unknown,no
36547,55,management,divorced,tertiary,no,608,yes,no,cellular,7,may,161,2,-1,0,unknown,no
40588,26,admin.,single,tertiary,no,2170,yes,no,cellular,26,may,81,1,29,1,failure,no
23897,54,management,married,tertiary,no,1451,no,no,cellular,25,aug,308,7,-1,0,unknown,no
26953,32,technician,single,tertiary,yes,0,no,no,cellular,19,nov,122,2,-1,0,unknown,no
30488,26,unemployed,single,tertiary,no,2170,no,no,cellular,3,feb,317,1,-1,0,unknown,no
4170,57,management,divorced,secondary,no,3625,yes,no,unknown,14,may,747,3,-1,0,unknown,no
11232,35,management,married,tertiary,no,810,no,no,unknown,11,jun,124,4,-1,0,unknown,no
17353,29,services,married,secondary,no,30,yes,no,cellular,23,jul,74,3,-1,0,unknown,no
13440,57,retired,married,secondary,no,0,no,yes,unknown,30,jun,104,2,-1,0,unknown,no
9328,23,blue-collar,single,secondary,no,27,yes,no,unknown,2,jun,280,2,-1,0,unknown,no
14297,29,management,single,tertiary,no,640,no,no,cellular,8,jul,150,2,-1,0,unknown,no
11982,48,admin.,married,secondary,no,306,no,yes,unknown,17,jun,314,2,-1,0,unknown,no
21943,42,management,single,tertiary,no,525,no,no,cellular,13,aug,127,2,-1,0,unknown,no
11836,41,blue-collar,married,secondary,no,475,yes,no,unknown,17,jun,139,3,-1,0,unknown,no
46089,38,management,single,tertiary,no,1373,no,no,cellular,22,oct,119,4,-1,0,unknown,no
37954,42,blue-collar,married,primary,no,159,yes,no,telephone,12,may,295,3,-1,0,unknown,no
25494,40,blue-collar,married,primary,no,69,yes,no,cellular,17,nov,375,1,-1,0,unknown,no
8212,35,blue-collar,married,primary,yes,-1489,yes,yes,unknown,29,may,177,1,-1,0,unknown,no
5983,33,self-employed,divorced,secondary,no,892,yes,no,unknown,21,may,316,1,-1,0,unknown,no
45452,45,management,married,tertiary,no,2077,no,no,cellular,5,aug,163,1,-1,0,unknown,no
4871,44,admin.,married,secondary,no,73,yes,no,unknown,16,may,404,1,-1,0,unknown,no
18007,54,housemaid,married,secondary,no,209,yes,yes,cellular,25,jul,97,1,-1,0,unknown,no
39879,31,blue-collar,married,primary,no,1654,yes,no,cellular,18,may,288,1,-1,0,unknown,no
