department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,class
7,31,2,0,2,1,35,5.0,8,0,49.0,0.0
4,14,0,1,0,1,30,5.0,4,0,60.0,0.0
7,10,0,1,2,1,34,3.0,7,0,50.0,0.0
7,15,0,1,0,2,39,1.0,10,0,50.0,0.0
8,18,0,1,0,1,45,3.0,2,0,73.0,0.0
0,11,0,1,2,2,31,3.0,7,0,85.0,0.0
4,12,0,0,0,1,31,3.0,5,0,59.0,0.0
4,27,2,1,2,1,33,3.0,6,0,63.0,0.0
0,12,0,1,0,1,28,4.0,5,0,83.0,0.0
7,0,2,1,2,1,32,5.0,5,0,54.0,0.0
7,31,0,0,2,1,35,5.0,3,0,50.0,1.0
7,28,0,1,2,1,49,5.0,5,0,49.0,0.0
8,21,2,1,0,2,39,3.0,16,0,80.0,0.0
6,11,2,1,2,1,37,3.0,7,0,84.0,0.0
4,31,0,1,0,1,37,1.0,10,0,60.0,0.0
8,11,0,1,0,1,38,3.0,5,0,77.0,0.0
7,24,0,1,0,1,34,1.0,4,0,51.0,0.0
7,24,0,1,0,1,34,5.0,8,0,46.0,0.0
4,6,0,1,0,1,37,3.0,9,0,59.0,0.0
5,5,0,1,0,1,35,3.0,7,0,75.0,0.0
1,2,0,0,0,1,28,3.0,4,0,63.0,0.0
1,14,2,1,2,2,39,5.0,7,0,59.0,0.0
8,14,0,1,0,1,27,5.0,3,0,83.0,0.0
5,18,0,1,0,1,31,5.0,4,0,68.0,0.0
8,18,0,1,0,1,33,4.0,4,0,79.0,0.0
0,29,0,1,0,1,29,5.0,3,0,80.0,0.0
5,6,0,1,2,1,37,5.0,10,0,72.0,0.0
4,11,0,1,2,2,57,4.0,6,0,58.0,0.0
0,14,0,1,0,2,27,5.0,3,0,87.0,0.0
7,14,0,1,0,1,40,2.0,4,0,47.0,0.0
8,20,0,1,2,1,33,4.0,4,0,75.0,0.0
7,31,0,0,2,1,40,5.0,3,0,47.0,0.0
7,0,2,1,0,1,42,5.0,5,0,51.0,0.0
7,20,0,1,2,1,33,5.0,6,0,51.0,1.0
8,6,0,1,0,1,34,3.0,10,0,80.0,0.0
4,11,0,0,0,2,23,4.0,2,0,57.0,0.0
2,11,0,1,2,1,59,4.0,26,0,52.0,0.0
0,11,0,1,0,1,44,5.0,12,0,88.0,0.0
5,8,0,0,2,1,50,5.0,11,0,71.0,0.0
5,4,2,0,0,1,37,4.0,4,0,71.0,0.0
8,7,0,1,2,1,40,3.0,11,0,80.0,0.0
7,12,0,1,2,1,30,3.0,3,0,49.0,0.0
5,11,2,0,2,1,56,3.0,12,0,73.0,0.0
1,11,0,1,2,1,20,4.0,2,0,60.0,0.0
7,17,0,0,2,1,31,3.0,8,0,48.0,0.0
5,6,0,1,2,1,40,3.0,12,0,65.0,0.0
2,14,0,1,0,1,30,1.0,6,0,50.0,0.0
4,14,0,1,0,1,39,3.0,5,0,62.0,0.0
0,24,0,1,0,2,26,2.0,2,0,85.0,0.0
6,14,2,1,2,1,40,3.0,5,0,84.0,0.0
7,10,0,1,0,1,40,4.0,7,0,52.0,0.0
7,28,2,1,0,1,50,4.0,17,0,47.0,1.0
7,21,0,1,2,1,25,3.0,3,0,53.0,0.0
7,0,2,1,2,1,35,4.0,2,0,52.0,0.0
6,18,0,1,0,1,34,5.0,5,0,87.0,0.0
4,4,2,0,2,1,31,3.0,3,0,58.0,0.0
5,1,0,1,0,1,30,4.0,6,0,75.0,0.0
0,24,0,1,0,1,30,3.0,7,0,84.0,1.0
4,14,0,0,0,1,50,5.0,5,0,59.0,0.0
8,14,2,1,0,1,34,5.0,7,0,78.0,1.0
7,11,2,0,2,1,41,1.0,12,0,52.0,0.0
7,7,0,1,2,1,32,4.0,6,0,44.0,0.0
7,31,0,1,0,1,50,3.0,14,0,52.0,0.0
7,11,2,1,2,1,38,4.0,2,0,49.0,1.0
7,19,0,1,2,2,29,1.0,5,0,51.0,0.0
7,23,0,1,2,1,35,4.0,3,0,53.0,0.0
0,11,0,1,0,1,25,3.0,2,0,91.0,0.0
7,14,0,1,2,1,30,3.0,3,0,58.0,1.0
8,11,0,1,1,1,47,3.0,7,0,79.0,0.0
4,28,2,1,2,1,35,2.0,7,0,53.0,0.0
6,14,0,1,0,1,36,4.0,8,0,82.0,0.0
4,2,2,0,2,1,42,5.0,11,0,60.0,1.0
2,12,0,0,2,1,28,2.0,6,0,52.0,0.0
5,31,2,1,2,1,32,5.0,3,0,69.0,1.0
0,3,0,1,0,1,34,3.0,8,0,85.0,0.0
5,11,2,1,2,2,46,4.0,3,0,74.0,0.0
2,11,2,1,0,1,47,3.0,7,0,44.0,0.0
4,11,0,0,0,1,44,4.0,13,0,53.0,0.0
